indicator,API_UserName,obs_date,OpDiv,observations,curr_date
146.71.50.198,818860012482918321,2025-01-01,CDC,1,2025-01-01
149.36.49.225,818860012482918321,2025-01-01,CDC,28,2025-01-01
162.142.125.242,818860012482918321,2025-01-01,CDC,3,2025-01-01
162.142.125.247,818860012482918321,2025-01-01,CDC,2,2025-01-01
185.230.63.171,818860012482918321,2025-01-01,CDC,6,2025-01-01
23.26.221.12,818860012482918321,2025-01-01,CDC,49,2025-01-01
23.26.221.2,818860012482918321,2025-01-01,CDC,51,2025-01-01
23.26.221.4,818860012482918321,2025-01-01,CDC,36,2025-01-01
34.160.111.145,818860012482918321,2025-01-01,CDC,4,2025-01-01
46.246.8.17,818860012482918321,2025-01-01,CDC,46,2025-01-01
91.90.122.24,818860012482918321,2025-01-01,CDC,44,2025-01-01
102.129.153.71,818860012482918321,2025-01-02,CDC,1,2025-01-02
104.21.61.32,818860012482918321,2025-01-02,CDC,14,2025-01-02
156.146.63.174,818860012482918321,2025-01-02,CDC,3,2025-01-02
162.142.125.242,818860012482918321,2025-01-02,CDC,2,2025-01-02
172.240.108.68,818860012482918321,2025-01-02,CDC,67,2025-01-02
185.230.63.171,818860012482918321,2025-01-02,CDC,61,2025-01-02
216.218.130.2,818860012482918321,2025-01-02,CDC,35,2025-01-02
23.26.221.23,818860012482918321,2025-01-02,CDC,5,2025-01-02
23.26.221.28,818860012482918321,2025-01-02,CDC,4,2025-01-02
23.26.221.7,818860012482918321,2025-01-02,CDC,7,2025-01-02
34.160.111.145,818860012482918321,2025-01-02,CDC,6,2025-01-02
104.18.32.191,818860012482918321,2025-01-03,CDC,10,2025-01-03
104.21.61.32,818860012482918321,2025-01-03,CDC,18,2025-01-03
162.142.125.242,818860012482918321,2025-01-03,CDC,1,2025-01-03
162.142.125.247,818860012482918321,2025-01-03,CDC,5,2025-01-03
185.230.63.171,818860012482918321,2025-01-03,CDC,12,2025-01-03
23.26.221.15,818860012482918321,2025-01-03,CDC,48,2025-01-03
23.26.221.18,818860012482918321,2025-01-03,CDC,40,2025-01-03
23.26.221.2,818860012482918321,2025-01-03,CDC,35,2025-01-03
34.160.111.145,818860012482918321,2025-01-03,CDC,19,2025-01-03
46.246.8.44,818860012482918321,2025-01-03,CDC,27,2025-01-03
