indicator,API_UserName,obs_date,OpDiv,observations,curr_date
104.18.68.40,15920309593055310684,2025-01-01,CMS,9,2025-01-01
104.248.125.97,15920309593055310684,2025-01-01,CMS,67,2025-01-01
118.193.72.187,15920309593055310684,2025-01-01,CMS,25996,2025-01-01
119.200.13.201,15920309593055310684,2025-01-01,CMS,1534,2025-01-01
134.122.109.15,15920309593055310684,2025-01-01,CMS,5,2025-01-01
146.71.50.198,15920309593055310684,2025-01-01,CMS,39256,2025-01-01
147.45.112.222,15920309593055310684,2025-01-01,CMS,31397,2025-01-01
147.45.76.186,15920309593055310684,2025-01-01,CMS,144,2025-01-01
149.88.27.209,15920309593055310684,2025-01-01,CMS,1,2025-01-01
149.88.27.218,15920309593055310684,2025-01-01,CMS,7,2025-01-01
152.32.128.214,15920309593055310684,2025-01-01,CMS,5069,2025-01-01
162.142.125.242,15920309593055310684,2025-01-01,CMS,219909,2025-01-01
162.142.125.247,15920309593055310684,2025-01-01,CMS,220396,2025-01-01
162.142.125.255,15920309593055310684,2025-01-01,CMS,219166,2025-01-01
165.22.54.16,15920309593055310684,2025-01-01,CMS,492,2025-01-01
169.150.196.152,15920309593055310684,2025-01-01,CMS,42,2025-01-01
183.215.194.158,15920309593055310684,2025-01-01,CMS,364,2025-01-01
185.208.159.43,15920309593055310684,2025-01-01,CMS,12640,2025-01-01
185.220.100.240,15920309593055310684,2025-01-01,CMS,3,2025-01-01
193.32.162.79,15920309593055310684,2025-01-01,CMS,9363,2025-01-01
194.165.16.76,15920309593055310684,2025-01-01,CMS,34109,2025-01-01
201.183.247.58,15920309593055310684,2025-01-01,CMS,8,2025-01-01
221.222.184.230,15920309593055310684,2025-01-01,CMS,7804,2025-01-01
34.107.221.82,15920309593055310684,2025-01-01,CMS,19783,2025-01-01
34.160.111.145,15920309593055310684,2025-01-01,CMS,79,2025-01-01
61.153.184.151,15920309593055310684,2025-01-01,CMS,1292,2025-01-01
80.66.83.46,15920309593055310684,2025-01-01,CMS,3234,2025-01-01
80.66.83.49,15920309593055310684,2025-01-01,CMS,8936,2025-01-01
muse.krazzykriss.com,15920309593055310684,2025-01-01,CMS,66,2025-01-01
104.18.32.191,15920309593055310684,2025-01-02,CMS,30,2025-01-02
104.18.68.40,15920309593055310684,2025-01-02,CMS,111,2025-01-02
104.18.69.40,15920309593055310684,2025-01-02,CMS,79,2025-01-02
107.189.3.148,15920309593055310684,2025-01-02,CMS,1,2025-01-02
107.189.3.94,15920309593055310684,2025-01-02,CMS,2,2025-01-02
107.189.30.69,15920309593055310684,2025-01-02,CMS,21,2025-01-02
107.189.8.16,15920309593055310684,2025-01-02,CMS,4,2025-01-02
118.193.72.187,15920309593055310684,2025-01-02,CMS,20284,2025-01-02
119.200.13.201,15920309593055310684,2025-01-02,CMS,1489,2025-01-02
146.71.50.198,15920309593055310684,2025-01-02,CMS,31371,2025-01-02
147.45.112.222,15920309593055310684,2025-01-02,CMS,20001,2025-01-02
147.45.76.186,15920309593055310684,2025-01-02,CMS,14,2025-01-02
152.32.128.214,15920309593055310684,2025-01-02,CMS,5144,2025-01-02
162.142.125.242,15920309593055310684,2025-01-02,CMS,219432,2025-01-02
162.142.125.247,15920309593055310684,2025-01-02,CMS,219143,2025-01-02
162.142.125.255,15920309593055310684,2025-01-02,CMS,219051,2025-01-02
162.247.72.192,15920309593055310684,2025-01-02,CMS,3,2025-01-02
164.92.231.207,15920309593055310684,2025-01-02,CMS,47,2025-01-02
165.22.54.16,15920309593055310684,2025-01-02,CMS,194,2025-01-02
165.227.155.36,15920309593055310684,2025-01-02,CMS,1465,2025-01-02
171.25.193.78,15920309593055310684,2025-01-02,CMS,9,2025-01-02
172.98.33.195,15920309593055310684,2025-01-02,CMS,350,2025-01-02
183.215.194.158,15920309593055310684,2025-01-02,CMS,219,2025-01-02
185.129.62.62,15920309593055310684,2025-01-02,CMS,6,2025-01-02
185.208.159.43,15920309593055310684,2025-01-02,CMS,12310,2025-01-02
185.220.100.240,15920309593055310684,2025-01-02,CMS,117,2025-01-02
185.220.101.58,15920309593055310684,2025-01-02,CMS,15,2025-01-02
185.230.63.171,15920309593055310684,2025-01-02,CMS,7,2025-01-02
193.32.162.79,15920309593055310684,2025-01-02,CMS,6606,2025-01-02
194.165.16.76,15920309593055310684,2025-01-02,CMS,33463,2025-01-02
201.183.247.58,15920309593055310684,2025-01-02,CMS,5,2025-01-02
221.222.184.230,15920309593055310684,2025-01-02,CMS,7901,2025-01-02
23.106.56.38,15920309593055310684,2025-01-02,CMS,33,2025-01-02
34.107.221.82,15920309593055310684,2025-01-02,CMS,28452,2025-01-02
34.160.111.145,15920309593055310684,2025-01-02,CMS,150,2025-01-02
61.153.184.151,15920309593055310684,2025-01-02,CMS,1420,2025-01-02
72.21.210.29,15920309593055310684,2025-01-02,CMS,28,2025-01-02
79.124.58.194,15920309593055310684,2025-01-02,CMS,414,2025-01-02
80.66.83.46,15920309593055310684,2025-01-02,CMS,2922,2025-01-02
80.66.83.49,15920309593055310684,2025-01-02,CMS,14288,2025-01-02
click.email.active.com,15920309593055310684,2025-01-02,CMS,11,2025-01-02
clickme.thryv.com,15920309593055310684,2025-01-02,CMS,24,2025-01-02
echo4.bluehornet.com,15920309593055310684,2025-01-02,CMS,42,2025-01-02
