indicator,API_UserName,obs_date,OpDiv,observations,curr_date
171.25.193.77,35664937356778434955,2025-01-02,HRSA,4,2025-01-02
185.230.63.171,35664937356778434955,2025-01-02,HRSA,60,2025-01-02
172.240.108.68,35664937356778434955,2025-01-03,HRSA,25,2025-01-03
i.postimg.cc,35664937356778434955,2025-01-03,HRSA,18,2025-01-03
162.142.125.247,35664937356778434955,2025-01-04,HRSA,1,2025-01-04
171.25.193.78,35664937356778434955,2025-01-04,HRSA,4,2025-01-04
185.129.62.62,35664937356778434955,2025-01-06,HRSA,4,2025-01-06
185.230.63.171,35664937356778434955,2025-01-06,HRSA,46,2025-01-06
172.240.108.68,35664937356778434955,2025-01-07,HRSA,27,2025-01-07
185.230.63.171,35664937356778434955,2025-01-07,HRSA,34,2025-01-07
185.230.63.171,35664937356778434955,2025-01-08,HRSA,22,2025-01-08
i.postimg.cc,35664937356778434955,2025-01-08,HRSA,5,2025-01-08
185.230.63.171,35664937356778434955,2025-01-10,HRSA,22,2025-01-10
142.54.229.249,35664937356778434955,2025-01-11,HRSA,7,2025-01-11
185.34.33.2,35664937356778434955,2025-01-11,HRSA,4,2025-01-11
104.37.135.145,35664937356778434955,2025-01-12,HRSA,14,2025-01-12
171.25.193.77,35664937356778434955,2025-01-12,HRSA,3,2025-01-12
185.230.63.171,35664937356778434955,2025-01-12,HRSA,25,2025-01-12
119.200.13.201,35664937356778434955,2025-01-13,HRSA,21,2025-01-13
146.71.50.198,35664937356778434955,2025-01-13,HRSA,510,2025-01-13
152.32.128.214,35664937356778434955,2025-01-13,HRSA,49,2025-01-13
162.142.125.242,35664937356778434955,2025-01-13,HRSA,2205,2025-01-13
162.142.125.255,35664937356778434955,2025-01-13,HRSA,2297,2025-01-13
185.230.63.171,35664937356778434955,2025-01-13,HRSA,4,2025-01-13
221.222.184.230,35664937356778434955,2025-01-13,HRSA,66,2025-01-13
61.153.184.151,35664937356778434955,2025-01-13,HRSA,28,2025-01-13
80.66.83.49,35664937356778434955,2025-01-13,HRSA,9962,2025-01-13
107.189.30.69,35664937356778434955,2025-01-14,HRSA,8,2025-01-14
118.193.72.187,35664937356778434955,2025-01-14,HRSA,512,2025-01-14
119.200.13.201,35664937356778434955,2025-01-14,HRSA,136,2025-01-14
146.71.50.198,35664937356778434955,2025-01-14,HRSA,3503,2025-01-14
152.32.128.214,35664937356778434955,2025-01-14,HRSA,446,2025-01-14
162.142.125.242,35664937356778434955,2025-01-14,HRSA,22115,2025-01-14
162.142.125.255,35664937356778434955,2025-01-14,HRSA,22176,2025-01-14
183.215.194.158,35664937356778434955,2025-01-14,HRSA,17,2025-01-14
185.220.100.240,35664937356778434955,2025-01-14,HRSA,4,2025-01-14
185.230.63.171,35664937356778434955,2025-01-14,HRSA,22,2025-01-14
193.32.126.233,35664937356778434955,2025-01-14,HRSA,1,2025-01-14
193.32.162.79,35664937356778434955,2025-01-14,HRSA,1139,2025-01-14
221.222.184.230,35664937356778434955,2025-01-14,HRSA,667,2025-01-14
61.153.184.151,35664937356778434955,2025-01-14,HRSA,104,2025-01-14
68.71.247.130,35664937356778434955,2025-01-14,HRSA,19,2025-01-14
80.66.83.46,35664937356778434955,2025-01-14,HRSA,96622,2025-01-14
80.66.83.49,35664937356778434955,2025-01-14,HRSA,62383,2025-01-14
87.236.176.51,35664937356778434955,2025-01-14,HRSA,3,2025-01-14
i.postimg.cc,35664937356778434955,2025-01-14,HRSA,20,2025-01-14
mavink.com,35664937356778434955,2025-01-14,HRSA,5,2025-01-14
118.193.72.187,35664937356778434955,2025-01-15,HRSA,1024,2025-01-15
119.200.13.201,35664937356778434955,2025-01-15,HRSA,142,2025-01-15
146.71.50.198,35664937356778434955,2025-01-15,HRSA,3236,2025-01-15
147.45.76.186,35664937356778434955,2025-01-15,HRSA,11,2025-01-15
152.32.128.214,35664937356778434955,2025-01-15,HRSA,429,2025-01-15
