indicator,API_UserName,obs_date,OpDiv,observations,curr_date
118.193.72.187,64853912235916233429,2025-01-01,OS,5019,2025-01-01
119.200.13.201,64853912235916233429,2025-01-01,OS,291,2025-01-01
146.71.50.198,64853912235916233429,2025-01-01,OS,8560,2025-01-01
147.45.76.186,64853912235916233429,2025-01-01,OS,9,2025-01-01
152.32.128.214,64853912235916233429,2025-01-01,OS,1117,2025-01-01
162.142.125.242,64853912235916233429,2025-01-01,OS,49072,2025-01-01
162.142.125.247,64853912235916233429,2025-01-01,OS,49573,2025-01-01
162.142.125.255,64853912235916233429,2025-01-01,OS,49669,2025-01-01
183.215.194.158,64853912235916233429,2025-01-01,OS,85,2025-01-01
185.241.208.204,64853912235916233429,2025-01-01,OS,10,2025-01-01
185.99.133.112,64853912235916233429,2025-01-01,OS,5,2025-01-01
192.42.116.192,64853912235916233429,2025-01-01,OS,2,2025-01-01
193.32.162.79,64853912235916233429,2025-01-01,OS,2002,2025-01-01
207.244.71.82,64853912235916233429,2025-01-01,OS,6,2025-01-01
207.244.71.84,64853912235916233429,2025-01-01,OS,8,2025-01-01
207.244.89.161,64853912235916233429,2025-01-01,OS,16,2025-01-01
207.244.89.162,64853912235916233429,2025-01-01,OS,4,2025-01-01
208.87.233.190,64853912235916233429,2025-01-01,OS,31,2025-01-01
221.222.184.230,64853912235916233429,2025-01-01,OS,1782,2025-01-01
61.153.184.151,64853912235916233429,2025-01-01,OS,290,2025-01-01
80.66.83.46,64853912235916233429,2025-01-01,OS,1046,2025-01-01
80.66.83.49,64853912235916233429,2025-01-01,OS,2316,2025-01-01
118.193.72.187,64853912235916233429,2025-01-02,OS,4370,2025-01-02
119.200.13.201,64853912235916233429,2025-01-02,OS,302,2025-01-02
146.70.45.166,64853912235916233429,2025-01-02,OS,11,2025-01-02
146.71.50.198,64853912235916233429,2025-01-02,OS,5650,2025-01-02
147.45.76.186,64853912235916233429,2025-01-02,OS,9,2025-01-02
152.32.128.214,64853912235916233429,2025-01-02,OS,993,2025-01-02
162.142.125.242,64853912235916233429,2025-01-02,OS,41943,2025-01-02
162.142.125.247,64853912235916233429,2025-01-02,OS,41925,2025-01-02
162.142.125.255,64853912235916233429,2025-01-02,OS,41706,2025-01-02
165.227.155.36,64853912235916233429,2025-01-02,OS,233,2025-01-02
171.25.193.20,64853912235916233429,2025-01-02,OS,2,2025-01-02
171.25.193.77,64853912235916233429,2025-01-02,OS,1,2025-01-02
172.98.33.195,64853912235916233429,2025-01-02,OS,52,2025-01-02
183.215.194.158,64853912235916233429,2025-01-02,OS,38,2025-01-02
185.241.208.204,64853912235916233429,2025-01-02,OS,5,2025-01-02
185.99.133.112,64853912235916233429,2025-01-02,OS,4,2025-01-02
193.32.162.79,64853912235916233429,2025-01-02,OS,1320,2025-01-02
207.244.71.82,64853912235916233429,2025-01-02,OS,8,2025-01-02
207.244.71.84,64853912235916233429,2025-01-02,OS,10,2025-01-02
207.244.89.161,64853912235916233429,2025-01-02,OS,18,2025-01-02
207.244.89.162,64853912235916233429,2025-01-02,OS,12,2025-01-02
208.87.233.190,64853912235916233429,2025-01-02,OS,15,2025-01-02
221.222.184.230,64853912235916233429,2025-01-02,OS,1515,2025-01-02
