indicator,API_UserName,obs_date,OpDiv,observations,curr_date
102.165.16.161,00818860012482918321,2025-04-01,CDC,4,2025-04-01
104.160.6.2,20790633968691748718,2025-04-01,DHA,15,2025-04-01
104.160.6.2,80363974983666420473,2025-04-01,IHS,1,2025-04-01
104.18.32.191,15920309593055310684,2025-04-01,CMS,92,2025-04-01
104.18.68.40,15920309593055310684,2025-04-01,CMS,147,2025-04-01
104.18.69.40,15920309593055310684,2025-04-01,CMS,174,2025-04-01
104.207.32.0,15920309593055310684,2025-04-01,CMS,36,2025-04-01
104.21.3.76,35664937356778434955,2025-04-01,HRSA,1,2025-04-01
104.21.48.1,00818860012482918321,2025-04-01,CDC,7404,2025-04-01
104.21.48.1,15920309593055310684,2025-04-01,CMS,2419,2025-04-01
104.21.54.132,00818860012482918321,2025-04-01,CDC,6,2025-04-01
104.21.61.32,00818860012482918321,2025-04-01,CDC,14,2025-04-01
107.189.3.94,13520457953477229971,2025-04-01,HHS,3,2025-04-01
114.217.150.72,15920309593055310684,2025-04-01,CMS,1328,2025-04-01
114.217.150.72,13983566077459384977,2025-04-01,FDA,762,2025-04-01
118.193.59.10,15920309593055310684,2025-04-01,CMS,4320,2025-04-01
118.193.59.10,13983566077459384977,2025-04-01,FDA,2541,2025-04-01
118.193.59.10,80363974983666420473,2025-04-01,IHS,296,2025-04-01
118.193.59.10,64853912235916233429,2025-04-01,OS,13,2025-04-01
118.193.59.10,74198686107399967946,2025-04-01,VA,21,2025-04-01
118.193.72.187,15920309593055310684,2025-04-01,CMS,8310,2025-04-01
118.193.72.187,13983566077459384977,2025-04-01,FDA,4651,2025-04-01
118.193.72.187,13520457953477229971,2025-04-01,HHS,4457,2025-04-01
119.200.13.201,15920309593055310684,2025-04-01,CMS,1101,2025-04-01
119.200.13.201,13520457953477229971,2025-04-01,HHS,1414,2025-04-01
138.197.101.95,20790633968691748718,2025-04-01,DHA,2,2025-04-01
138.197.101.95,64853912235916233429,2025-04-01,OS,1,2025-04-01
138.68.83.156,15920309593055310684,2025-04-01,CMS,710,2025-04-01
138.68.83.156,13983566077459384977,2025-04-01,FDA,172,2025-04-01
138.68.83.156,80363974983666420473,2025-04-01,IHS,44,2025-04-01
138.68.83.156,64853912235916233429,2025-04-01,OS,2,2025-04-01
14.29.227.102,15920309593055310684,2025-04-01,CMS,957,2025-04-01
14.29.227.102,13983566077459384977,2025-04-01,FDA,506,2025-04-01
14.29.227.102,64853912235916233429,2025-04-01,OS,1,2025-04-01
146.190.241.65,64853912235916233429,2025-04-01,OS,1,2025-04-01
146.70.204.166,13520457953477229971,2025-04-01,HHS,4,2025-04-01
146.70.204.185,13520457953477229971,2025-04-01,HHS,2,2025-04-01
146.70.45.166,64853912235916233429,2025-04-01,OS,1,2025-04-01
146.71.50.198,15920309593055310684,2025-04-01,CMS,39271,2025-04-01
146.71.50.198,20790633968691748718,2025-04-01,DHA,140343,2025-04-01
146.71.50.198,13983566077459384977,2025-04-01,FDA,19081,2025-04-01
146.71.50.198,13520457953477229971,2025-04-01,HHS,13938,2025-04-01
146.71.50.198,80363974983666420473,2025-04-01,IHS,1,2025-04-01
146.71.50.198,64853912235916233429,2025-04-01,OS,16,2025-04-01
149.88.27.197,13520457953477229971,2025-04-01,HHS,1,2025-04-01
149.88.27.208,13520457953477229971,2025-04-01,HHS,12,2025-04-01
149.88.27.211,13520457953477229971,2025-04-01,HHS,4,2025-04-01
149.88.27.217,13520457953477229971,2025-04-01,HHS,3,2025-04-01
149.88.27.228,13520457953477229971,2025-04-01,HHS,7,2025-04-01
149.88.27.229,13520457953477229971,2025-04-01,HHS,13,2025-04-01
149.88.27.231,13520457953477229971,2025-04-01,HHS,6,2025-04-01
15.204.47.3,15920309593055310684,2025-04-01,CMS,99,2025-04-01
152.32.128.214,15920309593055310684,2025-04-01,CMS,3753,2025-04-01
152.32.128.214,13983566077459384977,2025-04-01,FDA,2066,2025-04-01
152.32.128.214,13520457953477229971,2025-04-01,HHS,1382,2025-04-01
152.32.128.214,80363974983666420473,2025-04-01,IHS,1,2025-04-01
154.64.226.166,15920309593055310684,2025-04-01,CMS,15,2025-04-01
154.64.226.166,74198686107399967946,2025-04-01,VA,10,2025-04-01
156.146.63.131,00818860012482918321,2025-04-01,CDC,2,2025-04-01
156.146.63.162,00818860012482918321,2025-04-01,CDC,2,2025-04-01
156.146.63.170,00818860012482918321,2025-04-01,CDC,3,2025-04-01
156.146.63.172,00818860012482918321,2025-04-01,CDC,1,2025-04-01
156.146.63.174,00818860012482918321,2025-04-01,CDC,10,2025-04-01
156.228.112.0,15920309593055310684,2025-04-01,CMS,6,2025-04-01
