indicator,API_UserName,obs_date,OpDiv,observations,curr_date
102.90.61.13,74198686107399967946,2025-03-21,VA,39,2025-03-21
102.91.94.193,74198686107399967946,2025-03-21,VA,30,2025-03-21
103.225.136.166,74198686107399967946,2025-03-21,VA,12,2025-03-21
122.187.101.182,74198686107399967946,2025-03-21,VA,32,2025-03-21
123.136.100.101,74198686107399967946,2025-03-21,VA,14,2025-03-21
149.102.250.14,74198686107399967946,2025-03-21,VA,44,2025-03-21
171.25.193.78,74198686107399967946,2025-03-21,VA,3,2025-03-21
185.154.147.16,74198686107399967946,2025-03-21,VA,8,2025-03-21
185.220.100.240,74198686107399967946,2025-03-21,VA,11,2025-03-21
203.160.86.69,74198686107399967946,2025-03-21,VA,5,2025-03-21
203.239.31.150,74198686107399967946,2025-03-21,VA,43,2025-03-21
213.207.184.98,74198686107399967946,2025-03-21,VA,1,2025-03-21
217.170.194.54,74198686107399967946,2025-03-21,VA,36,2025-03-21
223.25.1.25,74198686107399967946,2025-03-21,VA,28,2025-03-21
45.142.193.131,74198686107399967946,2025-03-21,VA,56,2025-03-21
45.142.193.141,74198686107399967946,2025-03-21,VA,114,2025-03-21
45.142.193.152,74198686107399967946,2025-03-21,VA,58,2025-03-21
45.142.193.183,74198686107399967946,2025-03-21,VA,150,2025-03-21
45.142.193.207,74198686107399967946,2025-03-21,VA,152,2025-03-21
45.142.193.247,74198686107399967946,2025-03-21,VA,148,2025-03-21
45.142.193.51,74198686107399967946,2025-03-21,VA,69,2025-03-21
45.142.193.66,74198686107399967946,2025-03-21,VA,88,2025-03-21
45.142.193.75,74198686107399967946,2025-03-21,VA,40,2025-03-21
50.31.156.115,74198686107399967946,2025-03-21,VA,45,2025-03-21
61.95.255.74,74198686107399967946,2025-03-21,VA,38,2025-03-21
66.118.80.11,74198686107399967946,2025-03-21,VA,62,2025-03-21
80.71.82.118,74198686107399967946,2025-03-21,VA,31,2025-03-21
102.90.61.13,74198686107399967946,2025-03-22,VA,45,2025-03-22
102.91.94.193,74198686107399967946,2025-03-22,VA,33,2025-03-22
103.225.136.166,74198686107399967946,2025-03-22,VA,18,2025-03-22
118.193.59.10,74198686107399967946,2025-03-22,VA,21,2025-03-22
122.187.101.182,74198686107399967946,2025-03-22,VA,32,2025-03-22
123.136.100.101,74198686107399967946,2025-03-22,VA,16,2025-03-22
149.102.250.14,74198686107399967946,2025-03-22,VA,51,2025-03-22
185.130.156.7,74198686107399967946,2025-03-22,VA,3,2025-03-22
185.154.147.16,74198686107399967946,2025-03-22,VA,2,2025-03-22
185.220.100.240,74198686107399967946,2025-03-22,VA,10,2025-03-22
217.170.194.54,74198686107399967946,2025-03-22,VA,50,2025-03-22
223.25.1.25,74198686107399967946,2025-03-22,VA,35,2025-03-22
45.142.193.106,74198686107399967946,2025-03-22,VA,40,2025-03-22
45.142.193.141,74198686107399967946,2025-03-22,VA,140,2025-03-22
45.142.193.152,74198686107399967946,2025-03-22,VA,11,2025-03-22
45.142.193.183,74198686107399967946,2025-03-22,VA,134,2025-03-22
45.142.193.207,74198686107399967946,2025-03-22,VA,132,2025-03-22
45.142.193.247,74198686107399967946,2025-03-22,VA,146,2025-03-22
45.142.193.51,74198686107399967946,2025-03-22,VA,76,2025-03-22
45.142.193.61,74198686107399967946,2025-03-22,VA,1,2025-03-22
45.142.193.66,74198686107399967946,2025-03-22,VA,6,2025-03-22
64.88.192.20,74198686107399967946,2025-03-22,VA,48,2025-03-22
66.118.80.11,74198686107399967946,2025-03-22,VA,80,2025-03-22
79.127.211.213,74198686107399967946,2025-03-22,VA,60,2025-03-22
80.71.82.118,74198686107399967946,2025-03-22,VA,43,2025-03-22
ctrk.klclick2.com,74198686107399967946,2025-03-22,VA,27,2025-03-22
www.deepseek.com,74198686107399967946,2025-03-22,VA,15,2025-03-22
118.193.59.10,74198686107399967946,2025-03-23,VA,43,2025-03-23
154.64.226.166,74198686107399967946,2025-03-23,VA,2,2025-03-23
185.220.100.240,74198686107399967946,2025-03-23,VA,12,2025-03-23
203.239.31.150,74198686107399967946,2025-03-23,VA,56,2025-03-23
217.170.194.54,74198686107399967946,2025-03-23,VA,50,2025-03-23
45.142.193.141,74198686107399967946,2025-03-23,VA,158,2025-03-23
45.142.193.152,74198686107399967946,2025-03-23,VA,74,2025-03-23
45.142.193.183,74198686107399967946,2025-03-23,VA,54,2025-03-23
45.142.193.247,74198686107399967946,2025-03-23,VA,46,2025-03-23
45.142.193.51,74198686107399967946,2025-03-23,VA,26,2025-03-23
50.31.156.115,74198686107399967946,2025-03-23,VA,14,2025-03-23
chat.deepseek.com,74198686107399967946,2025-03-23,VA,75,2025-03-23
ctrk.klclick2.com,74198686107399967946,2025-03-23,VA,31,2025-03-23
www.deepseek.com,74198686107399967946,2025-03-23,VA,4,2025-03-23
118.193.59.10,74198686107399967946,2025-03-24,VA,46,2025-03-24
185.220.100.240,74198686107399967946,2025-03-24,VA,13,2025-03-24
203.239.31.150,74198686107399967946,2025-03-24,VA,45,2025-03-24
217.170.194.54,74198686107399967946,2025-03-24,VA,38,2025-03-24
3.14.182.203,74198686107399967946,2025-03-24,VA,1,2025-03-24
45.142.193.131,74198686107399967946,2025-03-24,VA,2,2025-03-24
45.142.193.141,74198686107399967946,2025-03-24,VA,136,2025-03-24
45.142.193.152,74198686107399967946,2025-03-24,VA,69,2025-03-24
45.142.193.183,74198686107399967946,2025-03-24,VA,160,2025-03-24
45.142.193.207,74198686107399967946,2025-03-24,VA,148,2025-03-24
45.142.193.51,74198686107399967946,2025-03-24,VA,76,2025-03-24
50.31.156.115,74198686107399967946,2025-03-24,VA,48,2025-03-24
chat.deepseek.com,74198686107399967946,2025-03-24,VA,34,2025-03-24
