indicator,API_UserName,obs_date,OpDiv,indicator_key,observations,curr_date
102.129.153.158,15920309593055310684,2024-08-01,CMS,102.129.153.158_CMS,1,2024-08-01
102.129.153.43,15920309593055310684,2024-08-01,CMS,102.129.153.43_CMS,2,2024-08-01
102.129.153.71,15920309593055310684,2024-08-01,CMS,102.129.153.71_CMS,4,2024-08-01
102.165.16.161,15920309593055310684,2024-08-01,CMS,102.165.16.161_CMS,2,2024-08-01
103.56.61.144,15920309593055310684,2024-08-01,CMS,103.56.61.144_CMS,78,2024-08-01
103.56.61.144,13520457953477229971,2024-08-01,HHS,103.56.61.144_HHS,670,2024-08-01
104.18.32.191,74198686107399967946,2024-08-01,VA,104.18.32.191_VA,4,2024-08-01
104.18.32.68,15920309593055310684,2024-08-01,CMS,104.18.32.68_CMS,1,2024-08-01
104.18.68.40,15920309593055310684,2024-08-01,CMS,104.18.68.40_CMS,577,2024-08-01
104.18.69.40,15920309593055310684,2024-08-01,CMS,104.18.69.40_CMS,351,2024-08-01
104.21.3.76,74198686107399967946,2024-08-01,VA,104.21.3.76_VA,8,2024-08-01
104.21.54.132,74198686107399967946,2024-08-01,VA,104.21.54.132_VA,6,2024-08-01
104.26.5.196,00818860012482918321,2024-08-01,CDC,104.26.5.196_CDC,16,2024-08-01
104.37.135.145,74198686107399967946,2024-08-01,VA,104.37.135.145_VA,2,2024-08-01
107.189.3.148,35664937356778434955,2024-08-01,HRSA,107.189.3.148_HRSA,4,2024-08-01
107.189.30.69,15920309593055310684,2024-08-01,CMS,107.189.30.69_CMS,1,2024-08-01
107.189.30.69,35664937356778434955,2024-08-01,HRSA,107.189.30.69_HRSA,1,2024-08-01
107.189.8.16,64853912235916233429,2024-08-01,OS,107.189.8.16_OS,1,2024-08-01
108.174.58.28,15920309593055310684,2024-08-01,CMS,108.174.58.28_CMS,231,2024-08-01
108.174.58.28,13983566077459384977,2024-08-01,FDA,108.174.58.28_FDA,151,2024-08-01
108.174.58.28,13520457953477229971,2024-08-01,HHS,108.174.58.28_HHS,3,2024-08-01
108.174.58.28,35664937356778434955,2024-08-01,HRSA,108.174.58.28_HRSA,49,2024-08-01
108.174.58.28,64853912235916233429,2024-08-01,OS,108.174.58.28_OS,49,2024-08-01
108.174.58.28,74198686107399967946,2024-08-01,VA,108.174.58.28_VA,6,2024-08-01
118.193.72.187,15920309593055310684,2024-08-01,CMS,118.193.72.187_CMS,76,2024-08-01
118.193.72.187,13983566077459384977,2024-08-01,FDA,118.193.72.187_FDA,512,2024-08-01
118.193.72.187,35664937356778434955,2024-08-01,HRSA,118.193.72.187_HRSA,512,2024-08-01
118.193.72.187,64853912235916233429,2024-08-01,OS,118.193.72.187_OS,3499,2024-08-01
119.91.235.16,15920309593055310684,2024-08-01,CMS,119.91.235.16_CMS,27710,2024-08-01
119.91.235.16,13983566077459384977,2024-08-01,FDA,119.91.235.16_FDA,278,2024-08-01
119.91.235.16,35664937356778434955,2024-08-01,HRSA,119.91.235.16_HRSA,87,2024-08-01
119.91.235.16,64853912235916233429,2024-08-01,OS,119.91.235.16_OS,2397,2024-08-01
13.107.136.10,15920309593055310684,2024-08-01,CMS,13.107.136.10_CMS,396950,2024-08-01
13.107.138.10,15920309593055310684,2024-08-01,CMS,13.107.138.10_CMS,392971,2024-08-01
142.4.218.114,15920309593055310684,2024-08-01,CMS,142.4.218.114_CMS,787940,2024-08-01
142.4.218.114,13520457953477229971,2024-08-01,HHS,142.4.218.114_HHS,31,2024-08-01
142.4.218.114,64853912235916233429,2024-08-01,OS,142.4.218.114_OS,89206,2024-08-01
146.70.45.166,74198686107399967946,2024-08-01,VA,146.70.45.166_VA,30,2024-08-01
146.70.57.34,64853912235916233429,2024-08-01,OS,146.70.57.34_OS,2,2024-08-01
